timestamp_utc,power_w
2026-01-20T06:08:15Z,1.510854
2026-01-20T06:08:25Z,2.155273
2026-01-20T06:08:35Z,6.554064
2026-01-20T06:08:45Z,6.880716
2026-01-20T06:08:55Z,19.816428
2026-01-20T06:09:05Z,35.537599
2026-01-20T06:09:15Z,38.092066
2026-01-20T06:09:25Z,38.022846
2026-01-20T06:09:35Z,38.356481
2026-01-20T06:09:46Z,38.156106
2026-01-20T06:09:56Z,39.439788
2026-01-20T06:10:06Z,38.936068
2026-01-20T06:10:16Z,37.634968
2026-01-20T06:10:26Z,38.437477
2026-01-20T06:10:36Z,39.231831
2026-01-20T06:10:46Z,37.656499
2026-01-20T06:10:56Z,38.692401
2026-01-20T06:11:06Z,39.078226
2026-01-20T06:11:16Z,37.409664
2026-01-20T06:11:26Z,38.358133
2026-01-20T06:11:36Z,37.428213
2026-01-20T06:11:46Z,39.096472
2026-01-20T06:11:56Z,37.929854
2026-01-20T06:12:06Z,37.504433
2026-01-20T06:12:16Z,39.090754
2026-01-20T06:12:26Z,39.084961
2026-01-20T06:12:37Z,39.059951
2026-01-20T06:12:47Z,39.083321
2026-01-20T06:12:57Z,38.629195
2026-01-20T06:13:07Z,37.749641
2026-01-20T06:13:17Z,38.202284
2026-01-20T06:13:27Z,38.259542
2026-01-20T06:13:37Z,37.318223
2026-01-20T06:13:47Z,38.244194
2026-01-20T06:13:57Z,20.430063
2026-01-20T06:14:07Z,9.059557
2026-01-20T06:24:43Z,8.428393
2026-01-20T06:24:53Z,7.173016
2026-01-20T06:25:03Z,7.526071
2026-01-20T06:25:13Z,2.962685
2026-01-20T06:25:23Z,2.833150
2026-01-20T06:25:33Z,3.158514
2026-01-20T06:25:43Z,2.065472
2026-01-20T06:25:53Z,3.025048
2026-01-20T06:26:03Z,2.321432
2026-01-20T06:26:13Z,2.645206
2026-01-20T06:26:23Z,2.343015
2026-01-20T06:26:33Z,2.545355
2026-01-20T06:26:43Z,1.983303
2026-01-20T06:26:53Z,3.135144
2026-01-20T06:27:03Z,1.889912
2026-01-20T06:27:14Z,2.626236
2026-01-20T06:27:24Z,1.985226
2026-01-20T06:27:34Z,2.895211
2026-01-20T06:27:44Z,2.162315
2026-01-20T06:27:54Z,3.177402
2026-01-20T06:28:04Z,1.940762
2026-01-20T06:28:14Z,2.863305
2026-01-20T06:28:24Z,2.329067
2026-01-20T06:28:34Z,2.903480
2026-01-20T06:28:44Z,2.075612
2026-01-20T06:28:54Z,2.931208
2026-01-20T06:29:04Z,2.241522
2026-01-20T06:29:14Z,3.303649
2026-01-20T06:29:24Z,1.922863
2026-01-20T06:29:34Z,3.094591
2026-01-20T06:29:44Z,1.920571
2026-01-20T06:29:55Z,3.314055
2026-01-20T06:30:05Z,9.680142
2026-01-20T06:30:15Z,9.931870
2026-01-20T06:30:25Z,1.007988
2026-01-20T06:30:35Z,1.087735
2026-01-20T06:30:45Z,1.072793
2026-01-20T06:30:55Z,0.879576
2026-01-20T06:31:05Z,1.091028
2026-01-20T06:31:15Z,1.074399
2026-01-20T06:31:25Z,1.103136
2026-01-20T06:31:35Z,0.916180
2026-01-20T06:31:45Z,0.858961
2026-01-20T06:31:55Z,1.137529
2026-01-20T06:32:05Z,5.033407
